#,NAME,PX,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,ZZ,XX,YY,ASSOC,DISC.,PSR,NGLT,AGE,
,,(mas),(deg),(deg),(mas/yr),(mas/yr),(deg),(deg),(kpc),(kpc),(kpc),,DATE,TYPE,,(Yr),
1,J0002+6216,*,37.547,54.067,*,*,117.327,-0.074,0,0,8.5,GRS:3FGL_J0002.6+6218[aaa+15]&XRS:1XSPS_,2017,NRAD,*,3.06E+05,
2,J0006+1834,*,8.986,16.402,*,*,108.172,-42.985,-0.59,0.6,8.7,*,1996,*,*,5.24E+06,
3,J0007+7303,*,53.145,60.936,*,*,119.66,10.463,0.25,1.2,9.18,GRS:2FGL_J0007.0+7303[naa+12]&XRS:RX_J00,2009,NRAD,1,1.39E+04,
4,J0011+08,*,5.909,6.342,*,*,106.228,-53.407,-4.34,3.09,9.4,*,2016,*,*,*,
5,B0011+47,*,26.403,41.51,*,*,116.497,-14.631,-0.45,1.54,9.27,*,1978,*,*,3.48E+07,
6,J0023+0923,0.9,9.07,6.309,-13.9,-0.3,111.383,-52.849,-0.89,0.62,8.74,GRS:3FGL_J0023.4+0923[aaa+15]&OPT:[bvr+1,2011,HE,*,4.23E+09,
7,J0024-7204aa,*,311.252,-62.353,*,*,305.895,-44.889,-1.9,-1.54,7.38,GC:47Tuc&XRS:[bhc+17],2016,*,*,*,
8,J0024-7204ab,*,311.259,-62.355,*,*,305.891,-44.891,-1.79,-1.46,7.45,GC:47Tuc&XRS:[bhc+17],2016,*,*,5.98E+09,
9,B0021-72C,*,311.241,-62.333,*,*,305.923,-44.892,-3.31,-2.69,6.55,GC:47Tuc&XRS:[bgh+06],1990,*,*,*,
10,B0021-72D,*,311.269,-62.36,*,*,305.881,-44.893,-3.31,-2.69,6.55,GC:47Tuc&XRS:[bgh+06],1991,*,*,*,
11,B0021-72E,*,311.246,-62.363,*,*,305.883,-44.883,-3.31,-2.69,6.55,GC:47Tuc&XRS:[bgh+06],1991,*,*,5.69E+08,
12,B0021-72F,*,311.255,-62.349,*,*,305.899,-44.892,-3.31,-2.69,6.55,GC:47Tuc&XRS:[bgh+06],1991,*,*,6.44E+08,
13,B0021-72G,*,311.262,-62.353,*,*,305.891,-44.893,-3.31,-2.69,6.55,GC:47Tuc&XRS:[bgh+06],1995,*,*,*,
14,B0021-72H,*,311.277,-62.347,*,*,305.896,-44.902,-3.31,-2.69,6.55,GC:47Tuc&XRS:[bgh+06],1991,*,*,*,
